ID,ADDRESS,MESSAGE
0,TNT,29Apr 12:19: DOBLE GIGA VIDEO+ 99 loaded to 639382805759 from XXXXXXXX7428. Ref:EVADT9C5K291. Use GigaLife App for the best promos & deals! smrt.ph/GigaLifeApp
1,TNT,Tuloy ang Saya! Meron kang TOTAL of 17 GB! 2 GB VIDEO ARAW-ARAW (14 GB) + 3 GB + FREE Unli Allnet Texts for 7 days with DOBLE GIGA VIDEO+ 99.
2,TNT,Hope you enjoyed your promo. Always check your balance and subscriptions on smrt.ph/GigaLifeApp An EASIER way of registering your SIM is now in the App!
3,TNT,May 60 mins ka na lang sa Shareable Data mo.
4,TNT,May 60 minutes ka na lang para gamitin ang Unli Allnet Texts mo. Redeem your favorite GIGA promo with your GigaPoints in the GigaLife App! smrt.ph/GigaLifeApp
5,TNT,May naghihintay na FREEBIES at SURPRISES sa'yo! Kunin mo lang sa GigaLife App smrt.ph/GigaLifeApp or dial *123# na!
6,TNT,"Ang iyong paboritong DOBLE GIGA+ promo will end on April 30! Dali, subscribe na bago pa tuluyang mawala! Click DOBLE GIGA+ on smrt.ph/GigaLifeApp or dial *123#"
7,TNT,DOBLE GIGA+ will end soon. Abangan! New promos are coming soon. Registered na ang SIM? EXCLUSIVE offers & FREEBIE available at smrt.ph/GigaLifeApp
8,TNT,Tuloy ang Saya! Meron kang TOTAL of 8 GB! 2 GB VIDEO ARAW-ARAW (6 GB) + 2 GB + FREE Unli Allnet Texts for 3 days with DOBLE GIGA VIDEO+ 50.
9,TNT,26Apr 12:47: DOBLE GIGA VIDEO+ 50 loaded to 639382805759 from XXXXXXXX7428. Ref:EVADQ5BS73UB. Use GigaLife App for the best promos & deals! smrt.ph/GigaLifeApp
10,TNT,Nag-expire na ang Unli Allnet Texts mo. Ang mga susunod na texts ay charged na to your other subscriptions or regular load.
11,TNT,Nag-expire na ang Shareable Data mo.
12,TNT,"Your SIM is NOT REGISTERED. By April 26, only Registered SIMs will be able to subscribe to UNLI DATA via *123# or the GigaLife App! Register your SIM now on smrt.ph/GigaLifeApp and get UNLI before it's gone!"
13,TNT,"BABALA: Magiging PERMANENTLY DEACTIVATED ang SIM mo after April 26, 2023! Prevent this by REGISTERING your SIM now at the GigaLife app! Register your Smart BRO or PLDT Home WiFi SIM too if you have one! Download the GigaLife app now to EASILY REGISTER: smrt.ph/GigaLifeApp"
14,TNT,Salamat KaTropa! Ito na ang FREE 2 GB for 3 days! Go to smrt.ph/GigaLifeApp or dial *123# para makakita pa ng all out sulit offers!
15,TNT,18Apr 19:54: DOBLE GIGA VIDEO+ 99 loaded to 639382805759 from XXXXXXXX7428. Ref:EVADI4ATKBFO. Use GigaLife App for the best promos & deals! smrt.ph/GigaLifeApp
16,TNT,Tuloy ang Saya! Meron kang TOTAL of 17 GB! 2 GB VIDEO ARAW-ARAW (14 GB) + 3 GB + FREE Unli Allnet Texts for 7 days with DOBLE GIGA VIDEO+ 99.
17,TNT,"Never run out of data. Always check your load balance and subscriptions with just a tap on the GigaLife App! Tap Check Usage"" on smrt.ph/GigaLifeApp NOW!"""
18,TNT,"UNLI ang SAYA with TNT! Enjoy 7 days of UNLI DATA for as low as P149! Click DON'T MISS OUT!"" sa smrt.ph/GigaLifeApp or Dial *123# NOW!"""
19,TNT,"Huwag tuluyang mawala, you mean so much to us! Avail your fave GIGA VIDEO 50 and get FREE 2 GB for 3 days! Get it until 21-April-2023 ONLY!"
20,TNT,Salamat KaTropa! Ito na ang FREE 2 GB for 3 days! Go to smrt.ph/GigaLifeApp or dial *123# para makakita pa ng all out sulit offers!
21,TNT,Ang saya talaga basta UNLI! May UNLI P25 CASHBACK sa bawat purchase ng total of P500 load sa Maya! Know more: maya.ph/unli25for500 DTI163842
22,TNT,"Huwag tuluyang mawala, you mean so much to us! Avail your fave GIGA VIDEO 50 and get FREE 2 GB for 3 days! Get it until 17-April-2023 ONLY!"
23,TNT,"Kamusta, KaTropa? Stay connected with us! Avail your fave GIGA VIDEO 50 and get FREE 1 GB for 3 days! Get it NOW! Until 10-April-2023 ONLY!"
24,TNT,You're trying to access sites not included in your promo OR haven't subscribed to one yet.
25,TNT,"Uy! Lahat ng UNREGISTERED SIMs ay magiging DEACTIVATED na agad after April 26, 2023! Iwasang mangyari ito kaya mag-REGISTER na sa smart.com.ph/simreg"
26,TNT,"We miss you! Heto, may FREEBIE kami for you: Avail your fave GIGA VIDEO 50 and get FREE 750 MB for 2 days! Get it NOW until 27-March-2023 ONLY!"
27,TNT,Gawing libre ang Doble Giga Video+ 50 na may total of 8 GB + UNLI ALLNET Texts! I-refer lang ang Tropa sa Maya to get this P50 reward! Visit: maya.ph/refer
28,TNT,"Na register na ang imu SIM? OTW na ang FREEBIES mo! Kung wala pa, kadto na sa smart.com.ph/simreg NOW & get FREE 3 GB all access + UNLI ALLNET calls and texts for 1 day!"
29,TNT,"Less than 50 days na lang to register your SIM! After April 26, 2023, lahat ng UNREGISTERED SIMs ay magiging PERMANENTLY DEACTIVATED na! Umiwas sa hassle kaya REGISTER na sa smart.com.ph/simreg"
30,TNT,Gawing libre ang Doble Giga Video+ 50 na may total of 8 GB + UNLI ALLNET Texts! I-refer lang ang Tropa sa Maya to get this P50 reward! Visit: maya.ph/refer
31,TNT,"Ang SIM registration kay SIMPLE, SAFE, HAPOS kag CONVENIENT lang! Dali na sa smart.com.ph/simreg & get FREE 3 GB all access + UNLI ALLNET calls and texts for 1 day!"
32,TNT,"Don't forget! Ang UNREGISTERED SIMs ay magiging PERMANENTLY DEACTIVATED na after April 26, 2023! Iwasan ito at mag-REGISTER na ng SIM mo sa smart.com.ph/simreg"
33,TNT,Heto ang isa pang chance to get the FREEBIE! Avail your fave GIGA VIDEO 50 and get FREE 300 MB for 1 day! Get it NOW baka mawala ulit! Until 09-March-2023 ONLY!
34,TNT,Salamat KaTropa! Ito na ang FREE 300 MB for 1 day! Go to smrt.ph/GigaLifeApp or dial *123# para makakita pa ng all out sulit offers!
35,TNT,Enjoy ka sa imu promo? Siguraduha naka-register na ang imu SIM to stay connected! Get FREE 1 day of 3 GB all access + UNLI ALLNET calls and texts kung maka-register ka na subong! Kadto na sa smart.com.ph/simreg
36,TNT,Enjoy sa promo mo? Be sure to register your SIM to stay connected! Get FREE UNLI calls & texts + 3 GB if you register now! Punta lang sa smart.com.ph/simreg
37,TNT,05Mar 23:19: DOBLE GIGA STORIES+ 50 loaded to 639382805759 from XXXXXXXX7428. Ref:EVAC575F5VJR. Use GigaLife App for the best promos & deals! smrt.ph/GigaLifeAp
38,TNT,"Get EXCLUSIVE promos every week JUST FOR YOU with just a tap on the GigaLife App! Click Don't Miss Out"" NOW on smrt.ph/dmo for MORE SURPRISES!"""
39,TNT,Tuloy ang Saya! Meron kang TOTAL of 8 GB! 2 GB STORIES ARAW-ARAW (6 GB) + 2 GB + FREE Unli Allnet Texts for 3 days with DOBLE GIGA STORIES+ 50.
40,TNT,You're trying to access sites not included in your promo OR haven't subscribed to one yet.
41,TNT,Heto na ang BEST FREEBIE para sayo! Get ANY P50 offer and enjoy FREE 2 GB STORIES and 2 GB VIDEO + 500 Allnet Texts and 50 Allnet Calls for 2 days! Get it 'til 04-March-2023 ONLY!
42,TNT,Need help sa pag-register ng SIM? Magpunta sa select Robinsons Malls nationwide para magpatulong sa iyong SIM Registration! More info: smrt.ph/simreg-robinsons
43,TNT,Salamat KaTropa! Ito na ang FREE 1 GB for 3 days! Go to smrt.ph/GigaLifeApp or dial *123# para makakita pa ng all out sulit offers!
44,TNT,Enjoy sa promo mo? Be sure to register your SIM to stay connected! Get FREE UNLI calls & texts + 3 GB if you register now! Punta lang sa smart.com.ph/simreg
45,TNT,"KaTropa! Panoorin ang latest Netflix series with TNT DOBLE GIGA VIDEO+! May 8GB, P50 lang, for 3 days! Load na sa GigaLife App, suking tindahan, *123# at Maya."
46,TNT,"Tara na, register your SIM! SIMPLE, SAFE, EASY at CONVENIENT 'to. Register na and get FREE UNLI calls & texts + 3 GB for 1 day! Go to smart.com.ph/simreg"
47,TNT,"Gusto mo ba ng more chances to win ng Harry Styles Love On Tour concert ticket? Load GIGA POWER 99 to get 2 raffle entries o GIGA POWER 199 for 4 entries. Pumili ng mabuti, dahil isang beses lang pwedeng iboost ang raffle entries mo til' Feb 21! Load and sign-up now: smrt.ph/smartlive DTI160470"
48,TNT,"Na register na ang imu SIM? OTW na ang FREEBIES mo! Kung wala pa, kadto na sa smart.com.ph/simreg NOW & get FREE 1 day of UNLI ALLNET calls and texts + 3 GB all access!"
49,TNT,"Do the latest TikTok moves gamit ang TNT DOBLE GIGA STORIES+ 50! May 8 GB, P50 lang, for 3 days! Load na sa GigaLife App, suking tindahan, *123# at Maya."
50,TNT,"We miss you! Heto, may FREEBIE kami for you: Avail your fave ALL DATA 50 and get FREE 750 MB for 2 days! Get it NOW until 17-February-2023 ONLY!"
51,TNT,"Registered na ang SIM? OTW na ang FREEBIES mo! Kung hindi pa, register na sa smart.com.ph/simreg and get FREE UNLI calls & texts + 3 GB for 1 day!"
52,TNT,"LF: FREE Harry Styles Love On Tour concert tickets? Sali na sa pa-raffle namin, KaTropa! Easy lang sumali: 1. Register your TNT SIM: smart.com.ph/simreg 2. Sign up for the Harry Styles Raffle sa smrt.ph/smartlive from Feb 6-21, 2023 3. Abangan announcement ng winners sa text T&C's apply."
53,TNT,"Netflix ba ang hanap, KaTropa? Mag-TNT DOBLE GIGA VIDEO+ na may 8 GB, P50 lang, for 3 days! Load na sa GigaLife App, suking tindahan, *123# at Maya."
54,TNT,Kumusta KaTropa? Ituloy ang saya! May FREEBIE ka para updated sa Tropa! Avail your fave ALL DATA 50 and get FREE 100 MB for 1 day! Get it NOW until 05-February-2023 ONLY!
55,TNT,"I-REGISTER mo na ang iyong SIM and get FREE UNLI calls & texts + 3 GB for 1 day! Simple, safe, easy, at convenient 'to. Register at smart.com.ph/simreg"
56,TNT,ANG EXCLUSIVE FREEBIE ay MAGEEXPIRE na! Avail your fave ALL DATA 50 and get FREE 1 GB for 3 days! Get it bago pa mawala! Until 01-February-2023 ONLY!
57,TNT,Nag-expire na ang Unli Trinet Texts mo.
58,TNT,"Registered na ang SIM? OTW na ang FREEBIES mo! If not yet, register NOW and get FREE UNLI calls & texts + 3 GB for 1 day! Just go to smart.com.ph/simreg"
59,TNT,May 60 mins ka na lang sa Unli Trinet Calls mo.
60,TNT,You're trying to access sites not included in your promo OR haven't subscribed to one yet.
61,TNT,"Tara na, register your SIM! SIMPLE, SAFE, EASY at CONVENIENT 'to. Register na and get FREE UNLI calls & texts + 3 GB for 1 day! Go to smart.com.ph/simreg"
62,TNT,Namiss ang freebie? Heto ang isa pang chance! Avail your fave ALL DATA 50 and get FREE 300 MB for 1 day! Get it NOW baka mawala ulit! Until 16-January-2023 ONLY!
63,TNT,"Registered na ang SIM? OTW na ang FREEBIES mo! Kung hindi pa, register na sa smart.com.ph/simreg and get FREE UNLI calls & texts + 3 GB for 1 day!"
64,TNT,Namiss ang freebie? Heto ang isa pang chance! Avail your fave ALL DATA 50 and get FREE 750 MB + Unli Allnet Calls and Texts for 2 days! Get it NOW baka mawala ulit! Until 11-January-2023 ONLY!
65,TNT,"Mag-register na ng SIM mo! Register na and get FREE UNLI calls & texts + 3 GB for 1 day. SIMPLE, SAFE, EASY at CONVENIENT 'to! Register at http://smart.com.ph/simreg"
66,TNT,Psssst! Malapit na mag-expire ang FREEBIE! Avail your fave UTP 15 and get FREE 750 MB for 2 days! Get it until 05-January-2023 ONLY!
67,TNT,"Mag-register na ng SIM mo! Register na and get FREE 3 GB + UNLI calls & texts for 1 day. SIMPLE, SAFE, EASY, at CONVENIENT 'to! Register at smart.com.ph/simreg"
68,TNT,Miss ka namin! May FREEBIE na hindi mo dapat ma-miss! Avail your fave UTP 15 and get FREE 750 MB for 2 days! Get it NOW until 05-January-2023 ONLY!
69,TNT,Salamat KaTropa! Ito na ang FREE 750 MB for 2 days! Gusto mo pa ng masasayang promos? Go to HOT DEALS on smrt.ph/GigaLifeApp or dial *123#!
70,TNT,"Bago matapos ang taon, get 84 GB with GIGA POWER 499, now at P100 off! Wag mo nang palampasin ito! Load na sa GigaLife App smrt.ph/GigaLifeApp or dial *123#"
71,TNT,Tuloy ang Saya! May 2 GB SHAREABLE DATA FOR ALL SITES ka na for 3 days with ALL DATA 50.
72,TNT,30Dec 12:23 ALL DATA 50 loaded to 639382805759 from XXXXXXXX7428. Ref:EV9LU0U9QTWY. Use GigaLife App for the best promos & deals! smrt.ph/GigaLifeApp
73,TNT,ANG SPECIAL FREEBIE mo ay MAGEEXPIRE na! Avail your fave UTP 15 and get Unli Allnet Calls and Texts for 3 days! Get it until 23-December-2022 ONLY!
74,TNT,Salamat KaTropa! Ito na ang FREE 3 GB for 3 days! Gusto mo pa ng masasayang promos? Go to HOT DEALS on smrt.ph/GigaLifeApp or dial *123#!
75,TNT,"SMART Service Advisory: Valued Customer, Maaari kang pumili sa mga offers na ito para sa iyong FREE Load. I-text lang ang number na napili: 1 or 2 or 3 send to 5858. Please redeem within 48 hours 1. 100 Allnet Texts + 50 MB valid for 1 day 2. 20 Allnet Mins + 50 MB valid for 1 day 3. 300 MB valid for 1 day We appreciate your patience and understanding sa nakaraang service interruption and we hope na ma-enjoy ninyo ang special token na ito from SMART."
76,TNT,We are happy to report that the network maintenance activity in your area is now completed and mobile services are restored. Please turn your device OFF and ON to refresh your connection. Thank you.
77,TNT,"SMART Service Advisory: Valued Customer, Maaari kang pumili sa mga offers na ito para sa iyong FREE Load. I-text lang ang number na napili: 1 or 2 or 3 send to 5858. Please redeem within 48 hours 1. 100 Allnet Texts + 50 MB valid for 1 day 2. 20 Allnet Mins + 50 MB valid for 1 day 3. 300 MB valid for 1 day We appreciate your patience and understanding sa nakaraang service interruption and we hope na ma-enjoy ninyo ang special token na ito from SMART."
78,TNT,We are aware that some of our valued customers in your area are experiencing difficulty in using our mobile services. Our technicians are currently working to restore the services shortly. Thank you for your patience and understanding.
79,TNT,Miss ka namin! May FREEBIE na hindi mo dapat ma-miss! Avail your fave UTP 15 and get FREE 750 MB for 2 days! Get it NOW until 09-December-2022 ONLY!
80,TNT,KaTropaaa! Get this EXCLUSIVE FREEBIE! Avail your fave UTP 15 and get FREE 3 GB for 3 days! Get it NOW bago pa mawala! Until 10-December-2022 ONLY!
81,TNT,"Carats & Eheads fans, sali na sa Smart Live Raffle for a chance to win (1) ticket to Seventeen Be The Sun Bulacan (Dec 17) o Eraserheads Huling El Bimbo (Dec 22) Para sumali, mag-sign up at pumili ng concert sa link na 'to: smrt.ph/smartliveraffle At huwag kalimutang i-activate ang GigaPay account niyo sa GigaLife App para mabilang ang raffle entry niyo. DTI156175"
82,TNT,Namiss ang freebie? Heto ang isa pang chance! Avail your fave DOBLE GIGA VIDEO+ 50 UAT and get FREE 300 MB for 1 day! Get it NOW baka mawala ulit! Until 03-December-2022 ONLY!
83,TNT,"Tuloy ang FB at ML kulitan kasama ang tropa with FB+ML 15! May 1 GB for FB and ML, P15 for 3 days! Kaya naman KaTropa, mag-load na! Available ito sa Gigalife app, suking tindahan, *123# at mobile wallets. DTI Permit 152866"
84,TNT,Sayang naman ang LIBRENG DATA! Kunin mo na sa bagong EXTRA LOAD starting at P75! Punta na sa suking tindahan or get it on smrt.ph/GigaLifeApp
85,TNT,Nag-expire na ang Unli Trinet Texts mo.
86,TNT,Mag-reload na ulit ng promo para tuloy tuloy ang online saya! Punta na sa *123# para makita ang offer na para lang sa'yo! Dial *123# or tap Hot Deals on smrt.ph/GigaLifeApp
87,TNT,"Malapit nang mag-expire ang promo mo! Para tuloy-tuloy ang saya, check out *123# now para makita ano ang best offer para sa'yo! Dial *123# or tap Hot Deals on smrt.ph/GigaLifeApp"
88,TNT,Tuloy ang Saya! Meron kang TOTAL of 8 GB! 2 GB VIDEO ARAW-ARAW (6 GB) + 2 GB + FREE Unli Allnet Texts for 3 days with DOBLE GIGA VIDEO+ 50.
89,TNT,11Nov 15:17: DOBLE GIGA VIDEO+ 50 loaded to 639486856906 from XXXXXXXX0118. Ref:EV9KB0O3Z96S. Use GigaLife App for the best promos & deals! smrt.ph/GigaLifeApp
90,TNT,Nag-expire na ang Unli Trinet Texts mo.
91,TNT,Sayang naman ang LIBRENG DATA! Kunin mo na sa bagong EXTRA LOAD starting at P75! Punta na sa suking tindahan or get it on smrt.ph/GigaLifeApp
92,TNT,Kulang ang data? May LIBRENG DATA sa bagong EXTRA LOAD starting at P75! Punta na sa suking tindahan or get it on smrt.ph/GigaLifeApp
93,TNT,Get up to P60 pag nag-sign up at gumamit ng Maya + 20% cashback sa TNT loads! Get Maya now: maya.ph/download Check: https://maya.ph/smartlovesmaya DTI152114
94,TNT,Certified Tiktoker ka ba? Get FREE TIKTOK ARAW-ARAW for as low as P50! Go to smrt.ph/dmo NOW!
95,TNT,"Tipid Tip: May P100 ka pag inaya ang KaTropa to join Maya. May pang load ka na ng TNT DOBLE GIGA+ 99! To know more, visit: www.maya.ph/refer DT152160"
96,TNT,"TikTok is more than just entertainment! Matuto ng hacks, pagluluto or mag-shop ARAW-ARAW for as low as P50. Visit smrt.ph/dmo or dial *123# for FREE TIKTOK!"
97,TNT,Enjoy 17 GB sa DOBLE GIGA+ 99! May 3 GB + 2 GB Passion Araw-Araw + Unli Allnet Calls & Texts for 7 days. Subscribe na sa GigaLife App! smrt.ph/doublegiga
98,TNT,2/2 upang hindi ma-compromise ang inyong mga account. Alamin kung paano maiiwasan ang mga scam na ito: https://smrt.ph/CyberSmartSmishing
99,TNT,1/2 PUBLIC SERVICE ADVISORY: Ka-tropa! Paalala na huwag i-click ang links na matatanggap mula sa hindi kilalang sender gamit ang inyong pangalan
100,TNT,You're trying to access sites not included in your promo OR haven't subscribed to one yet.
101,TNT,"Enjoy up to P120 when you sign up and buy TNT load with Maya! Get P20 pag nag register, plus P100 pag nag-upgrade at bumili ng load. KaTropa, download na ng Maya: maya.ph/download Learn more http://mayaph.co/MERyVS9E"
